Time,pwrA,pwrB,pwrC
2021-12-19 14:00:00+02:00,524.1329193115234,306.3069076538086,167.26551055908203
2021-12-19 15:00:00+02:00,525.3747430845749,511.3485587659732,167.48460612925447
2021-12-19 16:00:00+02:00,531.1683184010113,339.3555252903192,167.65863971562348
2021-12-19 17:00:00+02:00,526.6372193329094,519.7241215668907,166.22870996756146
2021-12-19 18:00:00+02:00,522.449141438802,302.3356419881185,168.7173957824707
2021-12-19 19:00:00+02:00,524.2639973958334,520.6655881423359,164.68032008917757
2021-12-19 20:00:00+02:00,526.5438181559244,305.70241292317706,168.59319407145182
2021-12-19 21:00:00+02:00,522.938083589994,513.2265211838942,169.44808466984676
2021-12-19 22:00:00+02:00,524.7484212239583,294.2673411051432,168.41161041259767
2021-12-19 23:00:00+02:00,524.2091542325279,528.3808477830518,167.87545102141624
2021-12-20 00:00:00+02:00,526.9172068277995,293.6093928019206,167.3794911702474
2021-12-20 01:00:00+02:00,529.834777212385,433.26957989223115,166.20440441460778
2021-12-20 02:00:00+02:00,526.9683064778645,315.5063710530599,176.38872502644855
2021-12-20 03:00:00+02:00,525.4566423283067,342.73602389550024,168.8564030846884
2021-12-20 04:00:00+02:00,525.7920598931652,431.81352859246925,167.61492736482882
2021-12-20 05:00:00+02:00,525.1980550130208,308.132964070638,167.24035517374674
2021-12-20 06:00:00+02:00,523.0238207440044,509.71205671443494,168.05277506510416
2021-12-20 07:00:00+02:00,526.6053185096154,285.69952157827527,167.39352017916167
2021-12-20 08:00:00+02:00,530.2553696743278,524.4296207871548,167.95369336032127
2021-12-20 09:00:00+02:00,534.8486805905578,474.67439476751514,262.7992118917486
2021-12-20 10:00:00+02:00,533.1363862820757,491.96670599216367,814.0574923383512
2021-12-20 11:00:00+02:00,537.8433131854495,672.0385804962376,3705.773843898456
2021-12-20 12:00:00+02:00,534.6625671717712,548.8730418604522,2982.8259344866374
2021-12-20 13:00:00+02:00,533.9509833834717,600.6805944034811,1253.2039589141507
2021-12-20 14:00:00+02:00,528.830492952588,595.6734800806267,1226.6648180828383
2021-12-20 15:00:00+02:00,529.2626474197797,540.2284112338363,963.1128301043163
2021-12-20 16:00:00+02:00,529.9031058610229,561.9467991292258,1056.0263611645885
2021-12-20 17:00:00+02:00,532.7181293761056,554.6974614672391,858.2254230657613
2021-12-20 18:00:00+02:00,540.6036183726249,585.6107829491697,173.06085634471185
2021-12-20 19:00:00+02:00,548.4357395172119,610.5114243030548,174.26565325260162
2021-12-20 20:00:00+02:00,569.7442116737366,412.5919575691223,174.3714052438736
2021-12-20 21:00:00+02:00,556.3301112448522,609.5146552980408,175.59985233277314
2021-12-20 22:00:00+02:00,555.5822948212927,497.1935149346398,173.97415195422226
2021-12-20 23:00:00+02:00,552.9208035469055,620.038679599762,172.47487008571625
2021-12-21 00:00:00+02:00,547.3757716749681,485.3367205197926,172.82864499003472
2021-12-21 01:00:00+02:00,544.3217716660611,394.25883614000423,173.0266358131586
2021-12-21 02:00:00+02:00,554.3879508085029,615.3243131415788,174.93625587640807
2021-12-21 03:00:00+02:00,547.214698611282,620.6415198618971,174.1014441542738
2021-12-21 04:00:00+02:00,544.6065858353016,459.21626246252725,174.0799797117248
2021-12-21 05:00:00+02:00,556.3334014656008,617.9882043646287,173.35459438590115
2021-12-21 06:00:00+02:00,550.2418506237888,623.2962381525557,172.36779288358466
2021-12-21 07:00:00+02:00,553.0615748681392,405.6670072139217,173.76439538946008
2021-12-21 08:00:00+02:00,546.2682136179869,517.700120283532,516.6777709012205
