Time,pwrA,pwrB,pwrC,log_pwrA,log_pwrB,log_pwrC,diff_log_pwrA,diff_log_pwrB,diff_log_pwrC
2021-12-19 14:00:00+02:00,525.0,306.3069076538086,167.26551055908203,6.263398262591624,5.7245875655067655,5.119582433477166,,,
2021-12-19 15:00:00+02:00,525.3747430845749,511.3485587659732,167.48460612925447,6.264111804311742,6.237051468759682,5.120891443335774,0.0007135417201187266,0.5124639032529164,0.0013090098586081567
2021-12-19 16:00:00+02:00,531.1683184010113,339.3555252903192,167.65863971562348,6.275078954819234,5.8270483049984145,5.121930005826109,0.010967150507491752,-0.41000316376126733,0.001038562490335515
2021-12-19 17:00:00+02:00,526.6372193329094,519.7241215668907,166.22870996756146,6.2665119231306985,6.253298135343459,5.113364610990042,-0.008567031688535565,0.4262498303450446,-0.008565394836066886
2021-12-19 18:00:00+02:00,525.0,302.3356419881185,168.7173957824707,6.263398262591624,5.711537797541748,5.128225100907197,-0.003113660539074914,-0.5417603378017111,0.014860489917154496
2021-12-19 19:00:00+02:00,525.0,520.6655881423359,164.68032008917757,6.263398262591624,6.255107970299804,5.104006140603833,0.0,0.5435701727580557,-0.024218960303364234
2021-12-19 20:00:00+02:00,526.5438181559244,305.70241292317706,168.59319407145182,6.266334553478369,5.72261212197384,5.127488677442486,0.0029362908867458515,-0.5324958483259641,0.02348253683865309
2021-12-19 21:00:00+02:00,525.0,513.2265211838942,169.44808466984676,6.263398262591624,6.24071730947304,5.132546594771986,-0.0029362908867458515,0.5181051874992004,0.005057917329500228
2021-12-19 22:00:00+02:00,525.0,294.2673411051432,168.41161041259767,6.263398262591624,5.684488677641421,5.126411044874578,0.0,-0.556228631831619,-0.006135549897408055
2021-12-19 23:00:00+02:00,525.0,528.3808477830518,167.87545102141624,6.263398262591624,6.269817326311968,5.1232223414900755,0.0,0.5853286486705471,-0.0031887033845023893
2021-12-20 00:00:00+02:00,526.9172068277995,293.6093928019206,167.3794911702474,6.267043433405877,5.6822502880607875,5.120263636632653,0.0036451708142530848,-0.5875670382511808,-0.002958704857422667
2021-12-20 01:00:00+02:00,529.834777212385,433.26957989223115,166.20440441460778,6.2725652168360995,6.0713601206322,5.113218382759788,0.005521783430222804,0.3891098325714122,-0.0070452538728646985
2021-12-20 02:00:00+02:00,526.9683064778645,315.5063710530599,176.38872502644855,6.267140407222216,5.754178875289457,5.172690224446282,-0.005424809613883141,-0.3171812453427423,0.05947184168649411
2021-12-20 03:00:00+02:00,525.4566423283067,342.73602389550024,168.8564030846884,6.264267679450294,5.836960541230301,5.129048667845988,-0.0028727277719227118,0.08278166594084357,-0.043641556600293896
2021-12-20 04:00:00+02:00,525.7920598931652,431.81352859246925,167.61492736482882,6.2649058111797915,6.067993848281132,5.1216692495044995,0.0006381317294978928,0.23103330705083103,-0.007379418341488808
2021-12-20 05:00:00+02:00,525.1980550130208,308.132964070638,167.24035517374674,6.263775439095472,5.730531391345325,5.119432030222935,-0.001130372084319653,-0.3374624569358069,-0.0022372192815645064
2021-12-20 06:00:00+02:00,525.0,509.71205671443494,168.05277506510416,6.263398262591624,6.233845971597201,5.124278067364757,-0.0003771765038482755,0.5033145802518764,0.004846037141821746
2021-12-20 07:00:00+02:00,526.6053185096154,285.69952157827527,167.39352017916167,6.26645134672563,5.654940634675561,5.120347448699019,0.003053084134006845,-0.5789053369216406,-0.0039306186657377395
2021-12-20 08:00:00+02:00,530.2553696743278,524.4296207871548,167.95369336032127,6.273358720077775,6.262311235395685,5.123688306649024,0.006907373352144752,0.6073706007201238,0.0033408579500049385
2021-12-20 09:00:00+02:00,534.8486805905578,474.67439476751514,189.08047374268511,6.281983866871576,6.162629084282614,5.242172711436415,0.008625146793800553,-0.099682151113071,0.11848440478739075
2021-12-20 10:00:00+02:00,533.1363862820757,491.96670599216367,189.08047374268511,6.278777275639586,6.198411043454905,5.242172711436415,-0.0032065912319900747,0.03578195917229099,0.0
2021-12-20 11:00:00+02:00,537.8433131854495,672.0385804962376,189.08047374268511,6.287567278311095,6.510315750327909,5.242172711436415,0.008790002671509534,0.31190470687300476,0.0
2021-12-20 12:00:00+02:00,534.6625671717712,548.8730418604522,189.08047374268511,6.281635832344488,6.307867161324531,5.242172711436415,-0.005931445966607107,-0.20244858900337803,0.0
2021-12-20 13:00:00+02:00,533.9509833834717,600.6805944034811,189.08047374268511,6.280304043330386,6.398063336362568,5.242172711436415,-0.001331789014102469,0.09019617503803623,0.0
2021-12-20 14:00:00+02:00,528.830492952588,595.6734800806267,189.08047374268511,6.270667951308736,6.389692664725779,5.242172711436415,-0.00963609202164939,-0.008370671636789062,0.0
2021-12-20 15:00:00+02:00,529.2626474197797,540.2284112338363,189.08047374268511,6.271484806601966,6.291992033892268,5.242172711436415,0.0008168552932295015,-0.09770063083351044,0.0
2021-12-20 16:00:00+02:00,529.9031058610229,561.9467991292258,189.08047374268511,6.272694170702568,6.331407181941693,5.242172711436415,0.0012093641006023503,0.03941514804942514,0.0
2021-12-20 17:00:00+02:00,532.7181293761056,554.6974614672391,189.08047374268511,6.277992446338223,6.318422850644081,5.242172711436415,0.005298275635654548,-0.012984331297611895,0.0
2021-12-20 18:00:00+02:00,540.6036183726249,585.6107829491697,173.06085634471185,6.292686327073046,6.372655375983671,5.153643303419626,0.01469388073482314,0.054232525339589444,-0.08852940801678866
2021-12-20 19:00:00+02:00,548.4357395172119,610.5114243030548,174.26565325260162,6.307070116092027,6.41429700640279,5.160580877758631,0.014383789018981297,0.04164163041911895,0.0069375743390045486
